# pulled from biomart on 2025-10-17
"Gene.stable.ID"	"Gene.stable.ID.version"	"Transcript.stable.ID"	"Transcript.stable.ID.version"	"RefSeq.match.transcript..MANE.Select."
"ENSG00000281766"	"ENSG00000281766.4"	"ENST00000643872"	"ENST00000643872.4"	"NM_012234.7"
"ENSG00000292254"	"ENSG00000292254.1"	"ENST00000710353"	"ENST00000710353.1"	"NM_001372044.2"
"ENSG00000293532"	"ENSG00000293532.1"	"ENST00000713550"	"ENST00000713550.1"	"NM_002457.5"
"ENSG00000293551"	"ENSG00000293551.1"	"ENST00000713586"	"ENST00000713586.1"	"NM_001100631.2"
"ENSG00000262191"	"ENSG00000262191.1"	"ENST00000571130"	"ENST00000571130.1"	"NM_001013358.2"
"ENSG00000292249"	"ENSG00000292249.1"	"ENST00000710319"	"ENST00000710319.1"	"NM_001005513.1"
"ENSG00000291473"	"ENSG00000291473.2"	"ENST00000707626"	"ENST00000707626.2"	"NM_207414.3"
"ENSG00000292227"	"ENSG00000292227.2"	"ENST00000713540"	"ENST00000713540.1"	"NM_001405530.2"
"ENSG00000292225"	"ENSG00000292225.2"	"ENST00000713538"	"ENST00000713538.1"	"NM_001405666.3"
"ENSG00000293604"	"ENSG00000293604.1"	"ENST00000715685"	"ENST00000715685.1"	"NM_032790.4"
"ENSG00000183753"	"ENSG00000183753.10"	"ENST00000331070"	"ENST00000331070.8"	"NM_004678.3"
"ENSG00000169953"	"ENSG00000169953.12"	"ENST00000304790"	"ENST00000304790.3"	"NM_153716.2"
"ENSG00000172468"	"ENSG00000172468.14"	"ENST00000307393"	"ENST00000307393.3"	"NM_033108.3"
"ENSG00000176679"	"ENSG00000176679.9"	"ENST00000321217"	"ENST00000321217.5"	"NM_139214.3"
"ENSG00000182415"	"ENSG00000182415.11"	"ENST00000250838"	"ENST00000250838.6"	"NM_004825.2"
"ENSG00000185894"	"ENSG00000185894.8"	"ENST00000382287"	"ENST00000382287.5"	"NM_001002761.1"
"ENSG00000205916"	"ENSG00000205916.12"	"ENST00000682740"	"ENST00000682740.1"	"NM_001388484.1"
"ENSG00000129873"	"ENSG00000129873.8"	"ENST00000382867"	"ENST00000382867.4"	"NM_001001722.2"
"ENSG00000184895"	"ENSG00000184895.8"	"ENST00000383070"	"ENST00000383070.2"	"NM_003140.3"
"ENSG00000129824"	"ENSG00000129824.16"	"ENST00000250784"	"ENST00000250784.13"	"NM_001008.4"
"ENSG00000154620"	"ENSG00000154620.6"	"ENST00000284856"	"ENST00000284856.4"	"NM_004202.3"
"ENSG00000129864"	"ENSG00000129864.7"	"ENST00000250825"	"ENST00000250825.5"	"NM_004679.4"
"ENSG00000187191"	"ENSG00000187191.16"	"ENST00000382365"	"ENST00000382365.7"	"NM_020364.4"
"ENSG00000188120"	"ENSG00000188120.16"	"ENST00000405239"	"ENST00000405239.6"	"NM_004081.7"
"ENSG00000099721"	"ENSG00000099721.16"	"ENST00000651267"	"ENST00000651267.2"	"NM_001143.2"
"ENSG00000092377"	"ENSG00000092377.15"	"ENST00000383032"	"ENST00000383032.6"	"NM_033284.2"
"ENSG00000205944"	"ENSG00000205944.12"	"ENST00000382440"	"ENST00000382440.6"	"NM_001389303.1"
